"Date","Price","Open","High","Low","Vol.","Change %"
"28/06/2024","3,904.15","3,917.80","3,960.00","3,897.85","2.73M","-0.76%"
"27/06/2024","3,934.15","3,831.00","3,942.00","3,818.10","4.53M","2.03%"
"26/06/2024","3,855.85","3,844.50","3,866.95","3,841.00","1.64M","0.45%"
"25/06/2024","3,838.45","3,817.00","3,847.65","3,792.90","1.34M","0.57%"
"24/06/2024","3,816.80","3,808.75","3,857.00","3,791.30","1.70M","0.16%"
"21/06/2024","3,810.75","3,827.00","3,877.80","3,798.05","4.64M","0.62%"
"20/06/2024","3,787.25","3,796.00","3,809.95","3,780.05","2.85M","-0.38%"
"19/06/2024","3,801.70","3,827.65","3,833.85","3,792.95","1.51M","-0.35%"
"18/06/2024","3,815.10","3,826.05","3,842.00","3,795.05","1.77M","-0.44%"
"14/06/2024","3,832.05","3,889.00","3,889.00","3,828.00","1.86M","-1.19%"
"13/06/2024","3,878.15","3,856.80","3,890.00","3,852.00","1.93M","1.21%"
"12/06/2024","3,831.65","3,874.40","3,893.50","3,827.45","2.18M","-0.53%"
"11/06/2024","3,852.10","3,845.00","3,879.95","3,841.00","1.42M","-0.17%"
"10/06/2024","3,858.70","3,895.00","3,905.90","3,841.90","1.73M","-0.91%"
"07/06/2024","3,893.95","3,837.30","3,915.00","3,837.30","4.55M","1.66%"
"06/06/2024","3,830.40","3,781.00","3,839.90","3,741.50","4.33M","2.24%"
"05/06/2024","3,746.45","3,716.00","3,783.80","3,700.00","2.80M","0.85%"
"04/06/2024","3,715.00","3,700.00","3,745.00","3,591.50","3.40M","0.33%"
"03/06/2024","3,702.85","3,732.80","3,751.55","3,696.00","2.16M","0.87%"
"31/05/2024","3,670.95","3,740.00","3,749.80","3,653.75","10.96M","-1.74%"
"30/05/2024","3,736.10","3,777.00","3,794.40","3,715.45","2.92M","-1.78%"
"29/05/2024","3,803.65","3,848.90","3,848.90","3,800.00","1.57M","-0.94%"
"28/05/2024","3,839.90","3,858.00","3,870.00","3,830.00","1.80M","-0.19%"
"27/05/2024","3,847.05","3,855.00","3,908.35","3,841.35","1.84M","-0.06%"
"24/05/2024","3,849.50","3,878.25","3,883.80","3,844.30","1.31M","-1.13%"
